#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-LL-A73Y-01A	1	0.418	0.391	0.441
TCGA-LL-A73Z-01A	1	0.634	0.608	0.665
TCGA-LL-A7SZ-01A	1	0.522	0.487	0.564
TCGA-LL-A7T0-01A	1	0.263	0.241	0.283
TCGA-LL-A8F5-01A	1	0.325	0.304	0.355
TCGA-LL-A9Q3-01A	1	0.336	0.309	0.369
TCGA-OK-A5Q2-01A	1	0.572	0.539	0.617
TCGA-OL-A5D6-01A	1	0.421	0.394	0.453
TCGA-OL-A5D8-01A	1	0.198	0.182	0.213
TCGA-OL-A5DA-01A	1	0.319	0.301	0.343
TCGA-OL-A5RU-01A	1	0.601	0.57	0.628
TCGA-OL-A5RV-01A	1	0.572	0.538	0.6
TCGA-OL-A5RW-01A	1	0.144	0.128	0.165
TCGA-OL-A5RY-01A	1	0.841	0.818	0.859
TCGA-OL-A5RZ-01A	1	0.11	0.097	0.124
TCGA-OL-A5S0-01A	1	0.449	0.421	0.477
TCGA-OL-A66H-01A	1	0.382	0.355	0.407
TCGA-OL-A66I-01A	1	0.538	0.497	0.57
TCGA-OL-A66P-01A	1	0.633	0.606	0.661
TCGA-OL-A6VO-01A	1	0.262	0.241	0.285
TCGA-PE-A5DD-01A	1	0.237	0.219	0.253
TCGA-PE-A5DE-01A	1	0.522	0.498	0.549
TCGA-PL-A8LX-01A	1	0.347	0.328	0.371
TCGA-S3-A6ZF-01A	1	0.341	0.32	0.364
TCGA-S3-A6ZG-01A	1	0.271	0.251	0.291
TCGA-S3-A6ZH-01A	1	0.215	0.194	0.233
TCGA-S3-AA0Z-01A	1	0.212	0.195	0.231
TCGA-S3-AA10-01A	1	0.438	0.41	0.472
TCGA-S3-AA11-01A	1	0.244	0.228	0.261
TCGA-S3-AA12-01A	1	0.09	0.076	0.104
TCGA-S3-AA14-01A	1	0.385	0.362	0.433
TCGA-S3-AA17-01A	1	0.454	0.426	0.483
TCGA-UU-A93S-01A	1	0.249	0.221	0.272
TCGA-V7-A7HQ-01A	1	0.286	0.267	0.308
TCGA-W8-A86G-01A	1	0.518	0.488	0.549
TCGA-WT-AB41-01A	1	0.481	0.457	0.508
TCGA-WT-AB44-01A	1	0.276	0.245	0.309
TCGA-XX-A899-01A	1	0.59	0.565	0.616
TCGA-XX-A89A-01A	1	0.519	0.493	0.544
TCGA-Z7-A8R5-01A	1	0.633	0.604	0.669
