#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-AN-A0XU-01A	1	0.24	0.223	0.256
TCGA-AN-A0XV-01A	1	0.357	0.334	0.386
TCGA-AN-A0XW-01A	1	0.482	0.45	0.51
TCGA-AO-A03L-01A	1	0.391	0.359	0.442
TCGA-AO-A0JA-01A	1	0.323	0.303	0.347
TCGA-AO-A0JB-01A	1	0.238	0.22	0.255
TCGA-AO-A0JE-01A	1	0.464	0.44	0.506
TCGA-AO-A0JF-01A	1	0.574	0.532	0.604
TCGA-AO-A0JG-01A	1	0.415	0.378	0.444
TCGA-AO-A0JJ-01A	1	0.479	0.451	0.509
TCGA-AO-A0JM-01A	1	0.291	0.266	0.313
TCGA-AO-A124-01A	1	0.165	0.148	0.182
TCGA-AO-A128-01A	1	0.664	0.64	0.689
TCGA-AO-A1KP-01A	1	0.118	0.105	0.131
TCGA-AO-A1KR-01A	1	0.487	0.443	0.516
TCGA-AO-A1KS-01A	1	0.217	0.199	0.235
TCGA-AO-A1KT-01A	1	0.25	0.23	0.27
TCGA-AQ-A04H-01B	1	0.182	0.165	0.198
TCGA-AQ-A0Y5-01A	1	0.423	0.392	0.452
TCGA-AQ-A1H3-01A	1	0.396	0.369	0.42
TCGA-AQ-A7U7-01A	1	0.649	0.614	0.673
TCGA-AR-A0TP-01A	1	0.11	0.095	0.127
TCGA-AR-A0TQ-01A	1	0.408	0.383	0.435
TCGA-AR-A0TR-01A	1	0.162	0.146	0.18
TCGA-AR-A0TT-01A	1	0.524	0.486	0.562
TCGA-AR-A0TV-01A	1	0.206	0.191	0.223
TCGA-AR-A0TW-01A	1	0.348	0.318	0.375
TCGA-AR-A0TX-01A	1	0.556	0.532	0.583
TCGA-AR-A0TZ-01A	1	0.157	0.141	0.171
TCGA-AR-A0U0-01A	1	0.443	0.418	0.466
TCGA-AR-A0U3-01A	1	0.176	0.16	0.194
TCGA-AR-A1AI-01A	1	0.405	0.382	0.435
TCGA-AR-A1AK-01A	1	0.461	0.415	0.486
TCGA-AR-A1AL-01A	1	0.519	0.499	0.543
TCGA-AR-A1AN-01A	1	0.375	0.348	0.397
TCGA-AR-A1AO-01A	1	0.86	0.844	0.875
TCGA-AR-A1AP-01A	1	0.265	0.244	0.286
TCGA-AR-A1AQ-01A	1	0.419	0.405	0.438
TCGA-AR-A1AU-01A	1	0.412	0.386	0.439
TCGA-AR-A1AW-01A	1	0.58	0.546	0.604
TCGA-AR-A1AY-01A	1	0.141	0.124	0.158
TCGA-AR-A24H-01A	1	0.145	0.13	0.161
TCGA-AR-A24K-01A	1	0.134	0.119	0.148
TCGA-AR-A24M-01A	1	0.293	0.273	0.321
TCGA-AR-A24N-01A	1	0.194	0.179	0.21
TCGA-AR-A24P-01A	1	0.37	0.345	0.39
TCGA-AR-A24R-01A	1	0.281	0.264	0.301
TCGA-AR-A24S-01A	1	0.373	0.349	0.397
TCGA-AR-A24U-01A	1	0.684	0.656	0.712
TCGA-AR-A24W-01A	1	0.631	0.61	0.721
TCGA-AR-A24X-01A	1	0.312	0.287	0.338
TCGA-AR-A24Z-01A	1	0.14	0.125	0.155
TCGA-AR-A250-01A	1	0.287	0.268	0.314
TCGA-AR-A252-01A	1	0.726	0.705	0.749
TCGA-AR-A254-01A	1	0.438	0.404	0.466
TCGA-AR-A255-01A	1	0.416	0.389	0.444
TCGA-AR-A2LE-01A	1	0.266	0.245	0.287
TCGA-AR-A2LH-01A	1	0.795	0.764	0.822
TCGA-AR-A2LK-01A	1	0.189	0.174	0.205
TCGA-AR-A2LM-01A	1	0.43	0.385	0.455
TCGA-AR-A2LN-01A	1	0.548	0.524	0.572
TCGA-AR-A2LO-01A	1	0.619	0.599	0.639
TCGA-AR-A2LQ-01A	1	0.772	0.746	0.794
TCGA-AR-A5QM-01A	1	0.49	0.467	0.519
TCGA-AR-A5QN-01A	1	0.409	0.384	0.433
TCGA-AR-A5QP-01A	1	0.562	0.53	0.593
TCGA-AR-A5QQ-01A	1	0.747	0.711	0.766
TCGA-B6-A0I1-01A	1	0.214	0.196	0.234
TCGA-B6-A0RE-01A	1	0.249	0.232	0.268
TCGA-B6-A0RG-01A	1	0.119	0.102	0.135
TCGA-B6-A0RM-01A	1	0.181	0.167	0.197
TCGA-B6-A0RN-01A	1	0.192	0.176	0.208
TCGA-B6-A0RS-01A	1	0.34	0.319	0.362
TCGA-B6-A0RT-01A	1	0.872	0.848	0.897
TCGA-B6-A0RU-01A	1	0.458	0.432	0.487
TCGA-B6-A0RV-01A	1	0.498	0.464	0.524
TCGA-B6-A0WT-01A	1	0.299	0.279	0.317
TCGA-B6-A0WW-01A	1	0.269	0.246	0.297
TCGA-B6-A0WX-01A	1	0.45	0.427	0.472
TCGA-B6-A0WY-01A	1	0.569	0.538	0.612
TCGA-B6-A0WZ-01A	1	0.354	0.313	0.382
TCGA-B6-A0X5-01A	1	0.128	0.112	0.144
TCGA-B6-A1KC-01B	1	0.114	0.101	0.129
TCGA-B6-A1KF-01A	1	0.117	0.102	0.132
TCGA-B6-A1KI-01A	1	0.428	0.4	0.46
TCGA-B6-A1KN-01A	1	0.293	0.244	0.315
TCGA-B6-A2IU-01A	1	0.297	0.275	0.316
TCGA-B6-A401-01A	1	0.54	0.481	0.569
TCGA-B6-A409-01A	1	0.446	0.413	0.476
TCGA-B6-A40B-01A	1	0.357	0.333	0.38
TCGA-B6-A40C-01A	1	0.302	0.281	0.323
TCGA-BH-A0AU-01A	1	0.347	0.321	0.376
TCGA-BH-A0AW-01A	1	0.381	0.363	0.401
TCGA-BH-A0B3-01A	1	0.451	0.43	0.477
TCGA-BH-A0B5-01A	1	0.3	0.275	0.342
TCGA-BH-A0B9-01A	1	0.873	0.86	0.885
TCGA-BH-A0BA-01A	1	0.317	0.282	0.35
TCGA-BH-A0BC-01A	1	0.44	0.413	0.461
TCGA-BH-A0BF-01A	1	0.53	0.497	0.56
TCGA-BH-A0BM-01A	1	0.399	0.367	0.432
TCGA-BH-A0BZ-01A	1	0.346	0.324	0.369
TCGA-BH-A0C0-01A	1	0.527	0.5	0.565
TCGA-BH-A0C3-01A	1	0.555	0.513	0.588
TCGA-BH-A0DG-01A	1	0.516	0.486	0.546
TCGA-BH-A0DH-01A	1	0.207	0.19	0.224
TCGA-BH-A0DI-01A	1	0.537	0.504	0.563
TCGA-BH-A0DK-01A	1	0.411	0.384	0.435
TCGA-BH-A0DQ-01A	1	0.344	0.324	0.365
TCGA-BH-A0DS-01A	1	0.257	0.236	0.28
TCGA-BH-A0DV-01A	1	0.661	0.635	0.698
TCGA-BH-A0E0-01A	1	0.302	0.278	0.328
TCGA-BH-A0E1-01A	1	0.218	0.203	0.236
TCGA-BH-A0E2-01A	1	0.242	0.224	0.262
TCGA-BH-A0GY-01A	1	0.379	0.351	0.407
TCGA-BH-A0GZ-01A	1	0.279	0.26	0.3
TCGA-BH-A0H0-01A	1	0.135	0.123	0.146
TCGA-BH-A0H3-01A	1	0.421	0.381	0.451
TCGA-BH-A0H6-01A	1	0.238	0.217	0.26
TCGA-BH-A0H7-01A	1	0.21	0.191	0.23
TCGA-BH-A0H9-01A	1	0.323	0.302	0.348
TCGA-BH-A0HA-01A	1	0.241	0.227	0.256
TCGA-BH-A0HB-01A	1	0.328	0.3	0.352
TCGA-BH-A0HI-01A	1	0.342	0.315	0.37
TCGA-BH-A0HK-01A	1	0.21	0.195	0.227
TCGA-BH-A0HP-01A	1	0.443	0.419	0.466
TCGA-BH-A0HX-01A	1	0.29	0.265	0.314
TCGA-BH-A0HY-01A	1	0.175	0.16	0.19
TCGA-BH-A0W3-01A	1	0.177	0.157	0.193
TCGA-BH-A0W4-01A	1	0.41	0.385	0.437
TCGA-BH-A0WA-01A	1	0.276	0.262	0.291
TCGA-BH-A1EN-01A	1	0.123	0.108	0.139
TCGA-BH-A1EO-01A	1	0.326	0.299	0.356
TCGA-BH-A1ES-01A	1	0.168	0.153	0.183
TCGA-BH-A1ET-01A	1	0.288	0.269	0.31
TCGA-BH-A1EU-01A	1	0.655	0.634	0.674
TCGA-BH-A1EV-01A	1	0.228	0.208	0.249
TCGA-BH-A1EW-01A	1	0.433	0.39	0.46
TCGA-BH-A1EX-01A	1	0.319	0.285	0.35
TCGA-BH-A1F0-01A	1	0.842	0.817	0.86
TCGA-BH-A1F2-01A	1	0.379	0.354	0.404
TCGA-BH-A1F6-01A	1	0.426	0.395	0.453
TCGA-BH-A1F8-01A	1	0.236	0.218	0.251
TCGA-BH-A1FC-01A	1	0.285	0.264	0.311
TCGA-BH-A1FD-01A	1	0.275	0.251	0.299
TCGA-BH-A1FG-01A	1	0.206	0.188	0.224
TCGA-BH-A1FJ-01A	1	0.134	0.12	0.146
TCGA-BH-A1FL-01A	1	0.184	0.171	0.197
TCGA-BH-A1FM-01A	1	0.201	0.185	0.217
TCGA-BH-A1FN-01A	1	0.169	0.153	0.185
TCGA-BH-A201-01A	1	0.452	0.431	0.474
TCGA-BH-A203-01A	1	0.458	0.436	0.486
